,날짜,집회 일시,집회 장소(행진로),관련 지역,신고 인원,관할서
0,231028,14:00∼17:00,서울역광장 → 전쟁기념관 앞,용산동1가 등,,
1,231028,14:00∼17:00,KDB생명타워 앞 → 전쟁기념관 앞,봉래동 등,70,남대문
2,231028,16:30∼18:00,삼각지역 1出 앞 2개차로,용산동,1000,용산
3,231028,15:00∼17:00,SK한남주유소 앞 인도,한남동,10000,용산
4,231028,18:00∼20:30,舊삼성본관∼태평교차로 진방 全차로 → 태평교차로,세종대로 등,1000,용산
5,231028,13:00∼17:30,서울역광장 → 종로3가역,동자동 등,10000,용산
6,231028,14:00∼16:30,SK서린빌딩 남측 ⇄ 세종교차로,서린동,5000,종로
7,231028,18:00∼19:30,시청 서편 분향소 앞,세종대로,600,남대문
8,231028,14:00∼17:00,대한문⇄ 보신각,세종대로 등,600,종로
9,231028,14:00∼17:00,서울시의회 ⇄ 보신각,세종대로 등,2000,남대문
10,231028,14:00∼16:00,의사당대로 양방 6개차로 및 공원로 편도 2개차로,여의도동,2000,종로
11,231028,13:00∼16:00,동화면세점 앞 인도 ,세종대로,20000,남대문
12,231028,11:00∼14:00,정부서울청사 북측 3개 차로 ⇄ 을지로1가,세종대로,10000,남대문
13,231028,13:00∼16:00,도시건축박물관 앞 인도,정동,2000,남대문
14,231028,14:00∼17:00,덕수궁돌담길 ⟶ 소녀상,정동,200,종로
15,231028,14:00∼15:00,보신각 앞 인도,관철동,100,남대문
16,231028,10:00∼12:00,광화문역 5出 앞,세종대로,300,종로
