,날짜,집회 일시,집회 장소(행진로),관련 지역,신고 인원,관할서
0,231104,15:00∼16:30,광화문KT 앞 → 소녀상,세종대로 등,80,종로
1,231104,16:30∼18:00,삼각지역 1出 앞 2개차로,용산동,10000,용산
2,231104,15:00∼18:00,SK한남주유소 앞 → 이태원광장,한남동 등,1000,용산
3,231104,17:00∼19:30,→ 서머셋 북측 건너편,세종대로 등,10000,종로/남대문
4,231104,15:00∼17:30,SK서린빌딩 남측 → SK서린빌딩 남측,서린동,600,종로/남대문
5,231104,14:00∼17:00,대한문 ⇄ 보신각,세종대로 등,2000,남대문/종로
6,231104,14:00∼17:00,서울시의회 ⇄ 보신각,세종대로 등,2000,남대문/종로
7,231104,13:00∼14:00,세종문화회관 앞 중앙계단,세종대로,100,종로
8,231104,13:00∼14:30,시청 동편 ⇄ 보신각,태평로1가 등,500,종로/남대문
9,231104,14:30∼16:30,시청 동편 → 서울역 광장,태평로1가 등,1000,남대문
10,231104,13:00∼16:00,동화면세점 앞 인도 ,세종대로,10000,종로
11,231104,13:00∼16:00,효령빌딩 앞 인도 및 1개차로 ⇄ 을지로1가,다동,500,종로/남대문
12,231104,11:00∼16:30,고궁박물관 남측 인도,세종로,500,종로
13,231104,10:00∼12:00,광화문역 5出 앞,세종대로,300,종로
